CONFIG
Key,Value
Our Mon,Moltres Galar
Calc Species Shell,Moltres Galar
Ability,Overcoat
Item,Heavy-Duty Boots
Nature,Jolly
Moves,"Beak Blast, Crunch, Taunt"
EVs,"{""hp"":164,""atk"":600,""def"":164,""spa"":0,""spd"":0,""spe"":72}"
IVs,"{""hp"":31,""atk"":31,""def"":31,""spa"":31,""spd"":2,""spe"":31}"
safeRepeatedSwitchMaxPct,33
safeSingleSwitchMaxPct,50

ALL MATCHUPS
Opponent,Bucket,We Switch Into Them,They Switch Into Us,Our Best Move,Our Damage Min %,Our Damage Max %,Their Best Move,Damage Into Us Min %,Damage Into Us Max %,Our Speed,Opp Speed,Summary,Debug
Landorus-Therian (Defensive Pivot),Switch-in,Safe,No,Beak Blast,33.2,39.3,U-turn,17.7,21.0,257,218,our best hit: Beak Blast (33.2-39.3%); worst hit into us: U-turn (17.7-21.0%); we are faster; Beak Blast strongly punishes weaker contact lines,"Loaded set: Landorus-Therian / Defensive Pivot || Threat moves considered: Earthquake, U-turn || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":true,""hasNonContactPivot"":false,""contactPivotMoves"":[""U-turn""],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":false,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":false,""statusMoves"":[],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Safe, theyIntoUs=No || After recovery logic: weIntoThem=Safe, theyIntoUs=No || After pivot logic: weIntoThem=Safe, theyIntoUs=No || After status logic: weIntoThem=Safe, theyIntoUs=No || After setup logic: weIntoThem=Safe, theyIntoUs=No || After knock logic: weIntoThem=Safe, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Safe, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in"
Moltres (PhysDef),Counters,No,Safe,Beak Blast,33.2,39.2,Flamethrower,30.1,35.6,257,219,"our best hit: Beak Blast (33.2-39.2%); worst hit into us: Flamethrower (30.1-35.6%); we are faster; faster Taunt blocks status recovery; contact exists, but burn punishment is muted; faster Taunt blocks status moves; Fishing for status possible","Loaded set: Moltres / PhysDef || Threat moves considered: Flamethrower, U-turn || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Roost""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":true,""hasNonContactPivot"":false,""contactPivotMoves"":[""U-turn""],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Roar"",""Roost""],""secondaryStatusMoves"":[""Flamethrower""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=Safe || After recovery logic: weIntoThem=No, theyIntoUs=Safe || After pivot logic: weIntoThem=No, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
Ursaluna (Swords Dance),Counters,No,Safe,Beak Blast,33.3,39.5,Facade,34.0,40.1,257,136,"our best hit: Beak Blast (33.3-39.5%); worst hit into us: Facade (34.0-40.1%); we are faster; contact exists, but burn punishment is muted; faster Taunt blocks status moves; Fishing for status possible","Loaded set: Ursaluna / Swords Dance || Threat moves considered: Facade, Headlong Rush, Fire Punch || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Swords Dance""],""secondaryStatusMoves"":[""Fire Punch""]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":true,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[""Swords Dance""]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=Safe || After recovery logic: weIntoThem=No, theyIntoUs=Safe || After pivot logic: weIntoThem=No, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
Heatran (Offensive),Counters,No,Safe,Crunch,38.4,45.5,Magma Storm,41.7,49.2,257,278,our best hit: Crunch (38.4-45.5%); worst hit into us: Magma Storm (41.7-49.2%); they are faster; status moves threaten the interaction,"Loaded set: Heatran / Offensive || Threat moves considered: Magma Storm, Earth Power || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Stealth Rock"",""Taunt""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=Safe || After recovery logic: weIntoThem=No, theyIntoUs=Safe || After pivot logic: weIntoThem=No, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
Naviathan (Dragon Dance),Counters,No,Safe,Crunch,40.9,48.4,Wave Crash,44.2,52.5,257,322,"our best hit: Crunch (40.9-48.4%); worst hit into us: Wave Crash (44.2-52.5%); they are faster; cannot outdamage recovery; contact exists, but burn punishment is muted; status moves threaten the interaction","Loaded set: Naviathan / Dragon Dance || Threat moves considered: Wave Crash, Facade || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Slack Off""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Slack Off"",""Dragon Dance""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":true,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[""Dragon Dance""]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=Safe || After recovery logic: weIntoThem=No, theyIntoUs=Safe || After pivot logic: weIntoThem=No, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
Zapdos (OU Defensive),Counters,No,Safe,Crunch,29.2,34.7,Volt Switch,46.4,55.2,257,236,our best hit: Crunch (29.2-34.7%); worst hit into us: Volt Switch (46.4-55.2%); we are faster; faster Taunt blocks status recovery; faster Taunt blocks status moves; Fishing for status possible,"Loaded set: Zapdos / OU Defensive || Threat moves considered: Volt Switch, Hurricane, Heat Wave || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Roost""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":false,""hasNonContactPivot"":true,""contactPivotMoves"":[],""nonContactPivotMoves"":[""Volt Switch""]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Roost""],""secondaryStatusMoves"":[""Heat Wave""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=Safe || After recovery logic: weIntoThem=No, theyIntoUs=Safe || After pivot logic: weIntoThem=No, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
Cresceidon (Utility),Counters,No,Safe,Beak Blast,40.7,48.1,Moonblast,47.0,56.4,257,381,our best hit: Beak Blast (40.7-48.1%); worst hit into us: Moonblast (47.0-56.4%); they are faster; cannot outdamage recovery; status moves threaten the interaction; Fishing for status possible,"Loaded set: Cresceidon / Utility || Threat moves considered: Scald, Moonblast || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Recover""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Thunder Wave"",""Recover""],""secondaryStatusMoves"":[""Scald""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=Safe || After recovery logic: weIntoThem=No, theyIntoUs=Safe || After pivot logic: weIntoThem=No, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
Ramnarok (Assault Vest),Counters,No,Safe,Crunch,35.2,41.6,Blizzard,54.7,64.6,257,295,our best hit: Crunch (35.2-41.6%); worst hit into us: Blizzard (54.7-64.6%); they are faster; Fishing for status possible,"Loaded set: Ramnarok / Assault Vest || Threat moves considered: Inferno, Polar Flare, Blizzard, Thunder || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":true,""statusMoves"":[],""secondaryStatusMoves"":[""Inferno"",""Polar Flare"",""Blizzard"",""Thunder""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=Safe || After recovery logic: weIntoThem=No, theyIntoUs=Safe || After pivot logic: weIntoThem=No, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
Chromera (Calm Mind),Counters,No,Safe,Beak Blast,46.3,55.0,Boomburst,70.4,82.9,257,299,our best hit: Beak Blast (46.3-55.0%); worst hit into us: Boomburst (70.4-82.9%); they are faster; status moves threaten the interaction,"Loaded set: Chromera / Calm Mind || Threat moves considered: Boomburst, Dark Pulse || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Recover""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Recover"",""Calm Mind""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":true,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[""Calm Mind""],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=Safe || After recovery logic: weIntoThem=No, theyIntoUs=Safe || After pivot logic: weIntoThem=No, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
Krilowatt (Offensive),Counters,No,Safe,Crunch,38.1,44.9,Thunderbolt,71.8,84.8,257,339,our best hit: Crunch (38.1-44.9%); worst hit into us: Thunderbolt (71.8-84.8%); they are faster; Fishing for status possible,"Loaded set: Krilowatt / Offensive || Threat moves considered: Volt Switch, Surf, Thunderbolt, Ice Beam || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":false,""hasNonContactPivot"":true,""contactPivotMoves"":[],""nonContactPivotMoves"":[""Volt Switch""]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":true,""statusMoves"":[],""secondaryStatusMoves"":[""Thunderbolt"",""Ice Beam""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=Safe || After recovery logic: weIntoThem=No, theyIntoUs=Safe || After pivot logic: weIntoThem=No, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
Raging Bolt (Calm Mind),Counters,No,Safe,Crunch,36.1,42.5,Thunderbolt,85.1,101.1,257,249,our best hit: Crunch (36.1-42.5%); worst hit into us: Thunderbolt (85.1-101.1%); we are faster; faster Taunt blocks status moves; Fishing for status possible,"Loaded set: Raging Bolt / Calm Mind || Threat moves considered: Thunderclap, Dragon Pulse, Thunderbolt || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Calm Mind""],""secondaryStatusMoves"":[""Thunderbolt""]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":true,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[""Calm Mind""],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=Safe || After recovery logic: weIntoThem=No, theyIntoUs=Safe || After pivot logic: weIntoThem=No, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
Kyurem (Specs),Counters,No,Safe,Beak Blast,45.5,53.7,Ice Beam,112.7,132.6,257,317,our best hit: Beak Blast (45.5-53.7%); worst hit into us: Ice Beam (112.7-132.6%); they are faster; Fishing for status possible,"Loaded set: Kyurem / Specs || Threat moves considered: Ice Beam, Freeze-Dry, Draco Meteor, Earth Power || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":true,""statusMoves"":[],""secondaryStatusMoves"":[""Ice Beam"",""Freeze-Dry""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=Safe || After recovery logic: weIntoThem=No, theyIntoUs=Safe || After pivot logic: weIntoThem=No, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
Ting-Lu (Utility),Counters,No,Safe,Beak Blast,26.3,30.9,,,,257,126,our best hit: Beak Blast (26.3-30.9%); we are faster; faster Taunt blocks status moves,"Loaded set: Ting-Lu / Utility || Threat moves considered: Ruination, Earthquake || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Spikes"",""Whirlwind""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=Safe || After recovery logic: weIntoThem=No, theyIntoUs=Safe || After pivot logic: weIntoThem=No, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
Caribolt (Swords Dance),Checks BL,No,Soft,Beak Blast,62.1,73.1,Double-Edge,103.3,122.7,257,342,our best hit: Beak Blast (62.1-73.1%); worst hit into us: Double-Edge (103.3-122.7%); they are faster; Beak Blast strongly punishes weaker contact lines; status moves threaten the interaction; faster OHKO threat downgrades Pressure to Checks BL,"Loaded set: Caribolt / Swords Dance || Threat moves considered: Double-Edge, Horn Leech, Rapid Spin || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":false,""hasDrainRecovery"":true,""statusRecoveryMoves"":[],""drainMoves"":[""Horn Leech""],""bestDrainMove"":""Horn Leech"",""statusRecoveryPct"":0,""drainRecoveryPct"":8.011049723756907,""bestRecoveryPct"":8.011049723756907} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Swords Dance""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":true,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[""Swords Dance""]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Soft || Derived bucket from adjusted axes: Checks BL"
Stratagem (Power Herb),Checks BL,No,Soft,Crunch,57.3,67.6,Meteor Beam,140.9,166.3,257,394,our best hit: Crunch (57.3-67.6%); worst hit into us: Meteor Beam (140.9-166.3%); they are faster; faster OHKO threat downgrades Pressure to Checks BL,"Loaded set: Stratagem / Power Herb || Threat moves considered: Meteor Beam, Paleo Wave, Energy Ball, Fire Blast || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":true,""statusMoves"":[],""secondaryStatusMoves"":[""Fire Blast""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Soft || Derived bucket from adjusted axes: Checks BL"

BUCKET COUNTS
Bucket,Count
Switch-in,3
Switch-in BL,10
Pressures,26
Checks,2
Counters,14
